query mid=9451,threshold=0.170000
in func similar
cmp with mail 0,A=125,B=121
ptrA:16,ptrB:8,intersect:0
ptrA:17,ptrB:8,intersect:0
ptrA:18,ptrB:8,intersect:0
ptrA:19,ptrB:8,intersect:0
ptrA:19,ptrB:9,intersect:0
ptrA:20,ptrB:9,intersect:0
ptrA:20,ptrB:10,intersect:0
ptrA:20,ptrB:11,intersect:0
ptrA:21,ptrB:11,intersect:0
ptrA:21,ptrB:12,intersect:0
ptrA:22,ptrB:12,intersect:0
ptrA:22,ptrB:13,intersect:0
ptrA:22,ptrB:14,intersect:0
ptrA:22,ptrB:15,intersect:0
ptrA:23,ptrB:15,intersect:0
ptrA:24,ptrB:15,intersect:0
ptrA:24,ptrB:16,intersect:0
ptrA:24,ptrB:17,intersect:0
ptrA:24,ptrB:18,intersect:0
ptrA:24,ptrB:19,intersect:0
ptrA:25,ptrB:19,intersect:0
ptrA:26,ptrB:19,intersect:0
ptrA:27,ptrB:19,intersect:0
ptrA:27,ptrB:20,intersect:0
ptrA:27,ptrB:21,intersect:0
ptrA:27,ptrB:22,intersect:0
ptrA:27,ptrB:23,intersect:0
ptrA:27,ptrB:24,intersect:0
ptrA:27,ptrB:25,intersect:0
ptrA:27,ptrB:26,intersect:0
ptrA:27,ptrB:27,intersect:0
ptrA:28,ptrB:27,intersect:0
ptrA:29,ptrB:27,intersect:0
ptrA:30,ptrB:27,intersect:0
ptrA:31,ptrB:27,intersect:0
ptrA:31,ptrB:28,intersect:0
ptrA:31,ptrB:29,intersect:0
ptrA:32,ptrB:29,intersect:0
ptrA:33,ptrB:29,intersect:0
ptrA:34,ptrB:29,intersect:0
ptrA:35,ptrB:29,intersect:0
ptrA:36,ptrB:29,intersect:0
ptrA:37,ptrB:29,intersect:0
ptrA:38,ptrB:29,intersect:0
ptrA:39,ptrB:29,intersect:0
ptrA:39,ptrB:30,intersect:0
ptrA:40,ptrB:30,intersect:0
ptrA:40,ptrB:31,intersect:0
ptrA:41,ptrB:31,intersect:0
ptrA:42,ptrB:31,intersect:0
ptrA:42,ptrB:32,intersect:0
ptrA:42,ptrB:33,intersect:0
ptrA:43,ptrB:33,intersect:0
ptrA:43,ptrB:34,intersect:0
ptrA:44,ptrB:34,intersect:0
